Case_Type,Cases,Difference,Date,Combined_Key,Country_Region,Province_State,Admin2,iso2,iso3,FIPS,Lat,Long,Population_Count,People_Total_Tested_Count,People_Hospitalized_Cumulative_Count,Data_Source,Prep_Flow_Runtime
Confirmed,0,0,2/3/2020,Switzerland,Switzerland,N/A,,CH,CHE,,46.8182,8.2275,8654618,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/1/2020,Cyprus,Cyprus,N/A,,CY,CYP,,35.1264,33.4299,1207361,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/11/2020,Jamaica,Jamaica,N/A,,JM,JAM,,18.1096,-77.2975,2961161,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/6/2020,Belize,Belize,N/A,,BZ,BLZ,,17.1899,-88.4976,397621,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,1,0,3/18/2020,Central African Republic,Central African Republic,N/A,,CF,CAF,,6.6111,20.9394,4829764,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,5,1,4/13/2020,"Bermuda, United Kingdom",United Kingdom,Bermuda,,BM,BMU,,32.3078,-64.7505,62273,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,1,0,3/19/2020,Central African Republic,Central African Republic,N/A,,CF,CAF,,6.6111,20.9394,4829764,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,31,9,3/30/2020,Poland,Poland,N/A,,PL,POL,,51.9194,19.1451,37846605,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,3,0,4/9/2020,"Manitoba, Canada",Canada,Manitoba,,CA,CAN,,53.7609,-98.8139,1377517,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/19/2020,"Tibet, China",China,Tibet,,CN,CHN,,31.6927,88.0924,3440000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,3/4/2020,South Sudan,South Sudan,N/A,,SS,SSD,,6.877,31.307,11193729,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/23/2020,"Inner Mongolia, China",China,Inner Mongolia,,CN,CHN,,44.0935,113.9448,25340000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,3/28/2020,"Bonaire, Sint Eustatius and Saba, Netherlands",Netherlands,"Bonaire, Sint Eustatius and Saba",,BQ,BES,,12.1784,-68.2385,26221,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,47,8,4/19/2020,Croatia,Croatia,N/A,,HR,HRV,,45.1,15.2,4105268,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,4/12/2020,Chad,Chad,N/A,,TD,TCD,,15.4542,18.7322,16425859,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,109,10,4/13/2020,Hungary,Hungary,N/A,,HU,HUN,,47.1625,19.5033,9660350,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/7/2020,Sudan,Sudan,N/A,,SD,SDN,,12.8628,30.2176,43849269,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/7/2020,"Aruba, Netherlands",Netherlands,Aruba,,AW,ABW,,12.5211,-69.9683,106766,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,6,0,4/15/2020,"Saint Barthelemy, France",France,Saint Barthelemy,,BL,BLM,,17.9,-62.8333,9885,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/23/2020,Singapore,Singapore,N/A,,SG,SGP,,1.2833,103.8333,5850343,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,1/24/2020,Hungary,Hungary,N/A,,HU,HUN,,47.1625,19.5033,9660350,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,1/31/2020,"Bermuda, United Kingdom",United Kingdom,Bermuda,,BM,BMU,,32.3078,-64.7505,62273,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/8/2020,Bulgaria,Bulgaria,N/A,,BG,BGR,,42.7339,25.4858,6948445,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
